City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
4,Russell,US,78.03,clear sky,32.3502,-85.1999,Macs
12,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
19,Fukuma,JP,75.29,broken clouds,33.7667,130.4667,Masago
20,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
22,Harper,LR,77.72,light rain,4.375,-7.7169,Screensaver
24,Yatou,CN,76.23,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
29,Pasni,PK,82.17,clear sky,25.2631,63.471,Kashmiri Hotal
34,Lenoir City,US,81.09,scattered clouds,35.7973,-84.256,"Holiday Inn Express & Suites Lenoir City (Knoxville Area), an IHG Hotel"
37,Kieta,PG,84.18,light rain,-6.2167,155.6333,Uruna Bay Retreat
39,Binzhou,CN,87.17,clear sky,37.3667,118.0167,Hampton By Hilton Binzhou
44,Butaritari,KI,81.34,broken clouds,3.0707,172.7902,Isles Sunset Lodge
45,Dingle,PH,81.5,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
47,Hilo,US,82.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
56,Champerico,GT,82.87,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
60,Kahului,US,89.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
61,Buchanan,LR,76.55,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
62,Sibolga,ID,82.78,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
67,Mayo,US,86.18,clear sky,38.8876,-76.5119,Resorts Resource Group International
73,Maiduguri,NG,85.05,broken clouds,11.8464,13.1603,Kagel Mari Police Station
80,Karratha,AU,80.74,clear sky,-20.7377,116.8463,ibis Styles Karratha
82,Bubaque,GW,78.39,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
83,Victoria,HK,84.04,scattered clouds,22.2855,114.1577,Mini Central
88,Kavieng,PG,84.78,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
89,Touros,BR,77.63,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
97,Tahoua,NE,86.05,broken clouds,14.8888,5.2692,Bungalows Guesthouse
110,Noumea,NC,82.38,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
114,Kununurra,AU,87.78,clear sky,-15.7667,128.7333,Hotel Kununurra
115,Acapulco,MX,79.54,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
120,Atuona,PF,77.65,clear sky,-9.8,-139.0333,Villa Enata
124,Wuwei,CN,75.06,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
125,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
127,Kirakira,SB,84.45,broken clouds,-10.4544,161.9205,SanBiz Lodge
128,Hobyo,SO,78.8,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
131,Bengbu,CN,81.21,few clouds,32.9408,117.3608,Howard Johnson Nanshan Plaza
132,Hirara,JP,78.66,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
133,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
136,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
142,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
144,Kavaratti,IN,83.52,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
145,Biak,ID,78.6,overcast clouds,-0.9131,122.8766,Penginapan Kim
146,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
158,Pascagoula,US,82.45,clear sky,30.3658,-88.5561,Regency Inn
160,San Patricio,US,83.53,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
162,Faanui,PF,80.62,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
163,Hithadhoo,MV,82.83,few clouds,-0.6,73.0833,Scoop Guest House
165,Port-Gentil,GA,78.28,overcast clouds,-0.7193,8.7815,Fengshui Residence
168,Renqiu,CN,86.72,clear sky,38.6989,116.0936,City Garden Renqiu Meishicheng Store
185,Banjar,ID,84.65,broken clouds,-8.19,114.9675,The Hamsa Resort
194,Sorong,ID,86.58,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
196,Cap Malheureux,MU,75.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
201,Umm Lajj,SA,82.13,clear sky,25.0213,37.2685,Moon light Furnished Units
205,Tecoanapa,MX,79.97,broken clouds,16.5167,-98.75,Hotel Manglares
208,Kutum,SD,75.76,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
214,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
217,Bandarbeyla,SO,80.87,overcast clouds,9.4942,50.8122,JABIR HOTEL
220,Salalah,OM,77.9,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
222,Namatanai,PG,85.12,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
231,Meulaboh,ID,81.57,overcast clouds,4.1363,96.1285,Kost Pria
232,Cabo San Lucas,MX,77.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
235,Shieli,KZ,77.16,scattered clouds,44.1667,66.75,Gostinitsa Aybek Shieli
237,Ewa Beach,US,82.44,light rain,21.3156,-158.0072,Base Lodging
239,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
246,Lakatoro,VU,82.38,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
248,Wanning,CN,83.1,overcast clouds,18.8003,110.3967,Paradise Hotel
250,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
251,Mareeba,AU,79.66,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
255,Hamilton,US,81.55,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
259,Tabuk,PH,84.15,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
261,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
267,Kendari,ID,86.25,overcast clouds,-3.945,122.4989,Hotel Wixel
275,Jibuti,DJ,79.93,broken clouds,11.5,42.5,Orchid Main Camp Goubet
276,Nagapattinam,IN,84.27,overcast clouds,10.7667,79.8333,Sathya Lodge
279,Buenaventura,CO,75.06,overcast clouds,3.8801,-77.0312,Hotel Victoria
282,Djibo,BF,89.51,scattered clouds,14.1022,-1.6306,Centre Des Ressources DPENA
283,Monrovia,LR,77.31,moderate rain,6.3005,-10.7969,Sunset Inn
285,Madison,US,80.4,clear sky,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
290,Bengkulu,ID,82.02,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
292,Piacabucu,BR,76.91,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
295,Tarakan,ID,85.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
304,Lingao,CN,82.11,broken clouds,19.9103,109.6859,Lingao Ditai Inn
305,Bilma,NE,87.01,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
308,Lorengau,PG,84.04,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
316,Pangai,TO,80.71,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
317,Lamar,US,84.63,scattered clouds,33.6668,-95.5836,Kings Inn Paris TX
319,Innisfail,AU,78.15,broken clouds,-17.5333,146.0333,Moondarra Motel
322,Felipe Carrillo Puerto,MX,80.17,clear sky,19.5833,-88.05,Hotel La Ceiba
323,Thongwa,MM,80.76,light rain,16.7619,96.5278,Mhaw Wun Marlar Park
325,Cilegon,ID,82.13,overcast clouds,-6.0174,106.0538,Forbis Hotel
328,Kudahuvadhoo,MV,83.64,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
330,Gaogou,CN,81.05,clear sky,34.0175,119.1886,GreenTree Inn JiangSu Huaian Gaogou Town First Street Shell Hotel
331,Labuhan,ID,79.2,light rain,-6.8844,112.2051,DoubleFAG
332,Grand Gaube,MU,75.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
342,Jevargi,IN,78.64,broken clouds,17.0167,76.7667,Khamadhenu Hotel
348,Katherine,AU,88.12,clear sky,-14.4667,132.2667,Pine Tree Motel
351,Bathsheba,BB,80.53,overcast clouds,13.2167,-59.5167,Atlantis Hotel
359,Nhulunbuy,AU,88.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
361,Atar,MR,83.79,broken clouds,20.5169,-13.0499,Oumou Elghoura
362,Ferndale,US,81.99,overcast clouds,42.4606,-83.1347,Hotel Royal Oak
365,Cockburn Town,TC,80.06,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
367,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
368,Puerto Carreno,CO,79.09,clear sky,6.189,-67.4859,Casa Hotel Victoria
373,Maumere,ID,84.4,broken clouds,-8.6199,122.2111,Sylvia Hotel
379,Gushikawa,JP,76.62,broken clouds,26.3544,127.8686,Kirari Guest House
381,Tual,ID,84.31,broken clouds,-5.6667,132.75,Grand Vilia Hotel
382,Laguna,US,81.28,few clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
384,Buala,SB,82.94,light rain,-8.145,159.5921,Maringe Lagoon Lodge
390,Gidam,IN,85.57,overcast clouds,18.9833,81.4,सागर
393,Mahebourg,MU,75.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
397,Bonthe,SL,78.48,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
402,Road Town,VG,80.64,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
404,Daru,PG,83.75,scattered clouds,-9.0763,143.2092,Daru Lodge
405,Bambous Virieux,MU,75.22,light rain,-20.3428,57.7575,Casa Tia Villa
408,Aden,YE,88.12,broken clouds,12.7794,45.0367,Sama Emirate Hotel
413,Arlit,NE,85.48,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
415,Vanimo,PG,85.77,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
422,Kashan,IR,78.8,broken clouds,33.9831,51.4364,Manouchehri Traditional House
431,Eyl,SO,80.62,broken clouds,7.9803,49.8164,Amiin Hotel
435,Matara,LK,79.56,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
439,Kibala,TD,76.37,overcast clouds,9.1104,18.3463,hotel safari
441,Rabak,SD,84.49,clear sky,13.1809,32.74,فندق ربك Rabak Hotel
443,Piney Green,US,77.02,few clouds,34.716,-77.3202,Holiday City Mobile Home Community
444,Am Timan,TD,82.72,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
450,Cascais,PT,76.35,overcast clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
461,Lethem,GY,75.67,broken clouds,3.3803,-59.7968,Savannah Inn
474,Sanjwal,PK,80.82,clear sky,33.7608,72.4336,لبیک یارسول اللہ ہوٹل
476,Samarai,PG,83.19,few clouds,-10.6167,150.6667,Nuli Sapi
478,Itarema,BR,76.57,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
480,Soc Trang,VN,86.83,overcast clouds,9.6033,105.98,Phu Quy Hotel
482,Lata,PT,76.48,overcast clouds,40.1629,-8.3327,Casa Maquia
486,Nago,JP,77.45,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
488,Berbera,SO,85.03,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
491,Ukiah,US,77.85,broken clouds,39.1502,-123.2078,Hampton Inn Ukiah
492,Pa Sang,TH,80.19,moderate rain,18.5262,98.9394,โรงแรม จามจุรี 99
505,Dwarka,IN,82.65,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
506,Poso,ID,81.41,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
510,Mach,PK,77.04,clear sky,29.8637,67.3298,Naqeebullah hotel mach نقیب اللہ ہوٹل مچھ
518,Tra Vinh,VN,86.31,overcast clouds,9.9347,106.3453,Hồng Ân
524,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,The Esplanade Hotel
528,Ailigandi,PA,76.87,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
529,Cayenne,GF,75.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
533,Mianwali,PK,87.78,broken clouds,32.5741,71.5264,Hashmi Plaza
536,Phuket,TH,89.13,moderate rain,8.0,98.25,The Surin
542,Fare,PF,79.63,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
546,Kawalu,ID,77.54,overcast clouds,-7.3817,108.2082,West Jontor
547,Kulhudhuffushi,MV,83.3,scattered clouds,6.6221,73.07,Haajy Guest House 1
552,Porbandar,IN,82.89,clear sky,21.6422,69.6093,Lords Inn Porbandar
557,Paka,MY,83.89,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
558,Kroya,ID,77.59,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
563,Ranau,MY,77.13,broken clouds,5.9538,116.6641,The Second Room
564,Sao Jose Da Coroa Grande,BR,75.06,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
568,Machiques,VE,75.52,clear sky,10.0644,-72.545,hotel el markes
569,San Juan Del Sur,NI,77.9,overcast clouds,11.2529,-85.8705,Nuestra Casa
570,Mahibadhoo,MV,83.41,broken clouds,3.7833,72.9667,Omadhoo Inn
571,Akodia,IN,86.02,clear sky,23.3833,76.6,Mobile Shop
582,Valle De Guadalupe,MX,77.25,few clouds,21.0,-102.6167,Hotel Río
589,Mangrol,IN,83.26,clear sky,21.1167,70.1167,Hotel The Royal Honours
590,Jinzhou,CN,85.03,broken clouds,41.1078,121.1417,Sheraton Jinzhou Hotel
592,Meadow Lake,US,79.79,clear sky,34.8014,-106.5436,TumbleWeed RV Park
593,Aswan,EG,81.61,clear sky,24.0934,32.907,Nuba Nile
594,Kalmunai,LK,82.26,few clouds,7.4167,81.8167,VS Villa
595,Bang Saphan,TH,81.05,light rain,11.2126,99.5117,Ladawan Boutique Hotel
596,Cabedelo,BR,77.59,moderate rain,-6.9811,-34.8339,Hotel Pigalle
605,Nizwa,OM,84.52,scattered clouds,22.9333,57.5333,Orient Apartments
608,Majene,ID,83.55,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
612,Zabid,YE,81.79,few clouds,14.1951,43.3152,مغرب التريبه
626,Port Moresby,PG,85.12,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
630,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
638,Lazaro Cardenas,MX,77.32,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
640,Shihezi,CN,79.77,broken clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
642,El Sauce,NI,76.28,scattered clouds,12.8869,-86.539,Hotel Blanco
645,San Francisco De Coray,HN,76.8,light rain,13.6614,-87.5328,Las Uvas comunid
649,Dehloran,IR,83.32,clear sky,32.6941,47.2679,کافه گیم استورم
653,Caramay,PH,85.6,light rain,10.1815,119.236,Peace and Love Beach Club
657,Grand-Lahou,CI,77.38,moderate rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
658,Freetown,SL,79.25,moderate rain,8.484,-13.2299,The Country Lodge Hotel
662,Hami,CN,80.76,clear sky,42.8,93.45,Laoyutang Resort
665,Pangkalanbuun,ID,80.85,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
668,Miri,MY,85.28,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
674,Jacmel,HT,77.94,broken clouds,18.2342,-72.5347,Historic Hotel Florita
680,Pochutla,MX,80.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
